StationID,FromDate,ToDate,Stations,Latitude,Longitude,StationName,State
5971,19510101,19630228,510,48.8787,9.6342,Welzheim (A),Baden-Wrttemberg
6086,19971101,20000630,71,52.7786,13.759,Melchow-Sch-nholz,Brandenburg
6093,19980201,20190202,62,53.2139,10.4704,Wendisch Evern,Niedersachsen
6095,19980501,19990930,273,51.0838,13.4486,Taubenheim-Seeligstadt,Sachsen
6105,19980601,20190202,14,54.3194,9.8051,Ostenfeld (Rendsburg),Schleswig-Holstein
6109,19981001,20190202,50,53.3837,14.3728,Grambow-Schwennenz,Mecklenburg-Vorpommern
6110,19980901,20040831,11,53.8545,13.4949,Medow-Wussentin,Mecklenburg-Vorpommern
6112,19981001,20000131,2,54.267,13.143,Stralsund-Devin,Mecklenburg-Vorpommern
6129,19990501,20190202,290,51.0593,14.4266,Sohland-Spree,Sachsen
6157,19990201,20190202,8,53.641,8.0808,Wangerland-Hooksiel,Niedersachsen
6158,19990701,20190202,455,49.2247,10.6084,Weidenbach-Weiherschneidbach,Bayern
6159,19590301,20190202,8,52.9542,7.3196,D-rpen,Niedersachsen
6163,19991004,20190202,27,54.1654,10.3519,D-rnick,Schleswig-Holstein
6170,20000201,20190202,40,52.0192,14.7254,Coschen,Brandenburg
6182,20000401,20120327,404,48.7757,12.1743,Mallersdorf-Pfaffenberg,Bayern
6184,20000701,20090615,6,53.5333,8.1667,Wilhelmshaven (Flugplatz),Niedersachsen
6186,20000401,20190202,268,50.1989,7.8651,Nast-tten,Rheinland-Pfalz
6196,20000901,20011130,610,50.1587,12.0386,Selb-Spielberg,Bayern
6197,20001011,20190202,258,51.8664,9.2709,L-gde-Paenbruch,Nordrhein-Westfalen
6199,20000801,20190202,16,54.2484,13.0418,Steinhagen-Negast,Mecklenburg-Vorpommern
6217,20010401,20190202,190,49.2406,6.9351,Saarbr-cken-Burbach,Saarland
6219,20010701,20011031,394,48.8768,11.1043,Dollnstein-Breitenfurt,Bayern
6258,20030101,20190202,459,47.6845,9.4409,Friedrichshafen-Unterraderach,Baden-Wrttemberg
6259,20040601,20190202,523,49.021,9.6032,Groﬂerlach-Mannenweiler,Baden-Wrttemberg
6260,20021201,20190202,385,49.3328,9.704,Ingelfingen-Stachenhausen,Baden-Wrttemberg
6262,20021101,20190202,413,48.7695,9.8737,Schw-bisch Gm-nd-Weiler,Baden-Wrttemberg
6263,20040701,20190202,445,47.7738,8.8219,Singen,Baden-Wrttemberg
6264,20040601,20190202,457,51.414,8.65,Brilon-Th-len,Nordrhein-Westfalen
6265,20040501,20190202,36,52.3613,12.3867,Wusterwitz,Brandenburg
6266,20040901,20190202,112,52.0304,10.9626,Huy-Pabstorf,Sachsen-Anhalt
6272,20041001,20190202,283,50.8426,10.2518,Moorgrund Gr-fen-Nitzendorf,Th-ringen
6273,20040601,20190202,36,52.5075,11.8551,Demker,Sachsen-Anhalt
6275,20040701,20190202,325,48.6705,9.4627,Notzingen,Baden-Wrttemberg
6304,20021001,20061231,550,49.3533,11.5053,Pilsach-Litzlohe,Bayern
6305,20041201,20190202,193,51.2061,10.4978,M-hlhausen-Th-ringen-G-rmar,Th-ringen
6310,20040801,20190202,1,54.1049,13.8239,Karlshagen,Mecklenburg-Vorpommern
6312,20041101,20190202,362,49.5314,10.6418,Markt Erlbach-Mosbach,Bayern
6314,19490201,20190202,308,51.0507,13.3003,Nossen,Sachsen
6336,20051101,20190202,285,50.0132,9.654,Lohr-Main-Halsbach,Bayern
6337,20040801,20190202,59,51.7663,7.5193,L-dinghausen-Brochtrup,Nordrhein-Westfalen
6344,20041201,20190202,168,50.394,8.1423,Runkel-Ennerich,Hessen
6346,20050201,20190202,530,48.207,11.2035,Maisach-Galgen,Bayern
6347,20050301,20190202,304,50.0579,10.2972,Schonungen-Mainberg,Bayern
7075,20050201,20190202,425,48.702,11.8493,Elsendorf-Horneck,Bayern
7099,20041101,20190202,187,52.0111,10.3966,Liebenburg-Othfresen,Niedersachsen
7105,20050601,20190202,721,47.835,12.6548,Siegsdorf-H-ll,Bayern
7106,20060901,20190202,105,52.0714,8.4565,Bielefeld-Deppendorf,Nordrhein-Westfalen
7135,19510101,20041231,565,47.9655,9.6804,Aulendorf-Haslach,Baden-Wrttemberg
7187,20041201,20190202,193,49.7636,9.4063,Freudenberg-Main-Boxtal,Baden-Wrttemberg
7244,19670101,20040930,62,53.1424,13.0319,Neuglobsow (HM),Brandenburg
7298,20050701,20190202,5,54.5268,9.0425,Hattstedt,Schleswig-Holstein
7319,20050301,20190202,435,48.7374,10.7393,Donauw-rth-Osterweiler,Bayern
7321,20050901,20190202,160,51.1507,11.3321,Olbersleben,Th-ringen
7325,20110901,20151231,2650,47.4167,10.9794,Schneefernerhaus,Bayern
7329,20051101,20190202,465,50.5467,12.2863,Treuen,Sachsen
7330,20051001,20190202,159,51.4634,7.978,Arnsberg-Neheim,Nordrhein-Westfalen
7331,20050901,20190202,468,48.6099,10.2674,Hermaringen-Allewind,Baden-Wrttemberg
7341,20050715,20190202,119,50.09,8.7862,Offenbach-Wetterpark,Hessen
7343,20060401,20190202,688,50.6199,13.4816,Deutschneudorf-Br-derwiese,Sachsen
7350,20060801,20190202,588,49.1088,12.8231,Prackenbach-Neuh-usl,Bayern
7351,20050908,20190202,116,53.3175,13.4175,Feldberg-Mecklenburg,Mecklenburg-Vorpommern
7364,20070101,20190202,74,51.682,12.3042,Jeﬂnitz,Sachsen-Anhalt
7367,20071201,20190202,144,51.9643,9.8072,Alfeld,Niedersachsen
7368,20071101,20190202,312,51.0007,10.3621,Eisenach,Th-ringen
7369,20071101,20190202,475,49.1623,10.3662,Feuchtwangen-Heilbronn,Bayern
7370,20061211,20190202,499,49.3909,12.6838,Waldm-nchen,Bayern
7373,20060301,20190202,3,53.5984,6.7024,Borkum-Flugplatz,Niedersachsen
7374,20060301,20190202,46,52.0814,6.941,Ahaus,Nordrhein-Westfalen
7389,20061201,20190202,82,52.7461,13.8427,Heckelberg,Brandenburg
7393,20100101,20190202,116,51.4493,14.2533,Hoyerswerda,Sachsen
7394,20060601,20190202,622,50.0315,11.9745,Wunsiedel-Sch-nbrunn,Bayern
7395,20071201,20190202,350,48.6596,12.5388,Gottfrieding,Bayern
7396,20080501,20190202,743,50.5084,9.2247,Hoherodskopf-Vogelsberg,Hessen
7403,20070401,20190202,672,47.7955,10.0324,Leutkirch-Herlazhofen,Baden-Wrttemberg
7410,20110201,20190202,350,50.7513,9.0224,Neu-Ulrichstein,Hessen
7412,20061001,20190202,340,50.0083,9.4239,Neuh-tten-Spessart,Bayern
7419,20061201,20190202,389,50.661,12.0756,Langenwetzendorf-G-ttendorf,Th-ringen
7420,20070401,20190202,246,51.1044,11.7112,Naumburg-Saale-Kreipitzsch,Sachsen-Anhalt
7424,20061201,20190202,458,47.7724,12.9073,Piding,Bayern
7427,20070901,20190202,17,54.0188,9.9255,Padenstedt (Pony-Park),Schleswig-Holstein
7428,20070501,20190202,397,50.4167,10.8156,Veilsdorf,Th-ringen
7431,20071101,20190202,604,48.013,11.5524,Oberhaching-Laufzorn,Bayern
7432,20070501,20190202,72,52.6423,10.6627,Wittingen-Vorhop,Niedersachsen
13670,20070601,20190202,24,51.5088,6.7018,Duisburg-Baerl,Nordrhein-Westfalen
13674,20070801,20190202,237,49.2942,8.9054,Waibstadt,Baden-Wrttemberg
13675,20071101,20190202,77,52.0818,9.4077,Hameln-Hastenbeck,Niedersachsen
13696,20071201,20190202,60,51.5966,7.4049,Waltrop-Abdinghof,Nordrhein-Westfalen
13700,20080501,20190202,205,51.3329,7.3411,Gevelsberg-Oberbr-king,Nordrhein-Westfalen
13710,20080401,20190202,490,48.5734,12.2576,Landshut-Reithof,Bayern
13711,20071201,20190202,289,50.6819,11.515,Kr-lpa-Rockendorf,Th-ringen
13713,20071101,20190202,380,51.0899,7.629,Meinerzhagen-Redlendorf,Nordrhein-Westfalen
13776,20080301,20101231,85,52.1789,9.9524,Hildesheim-Drispenstedt,Niedersachsen
13777,20080601,20190202,110,52.2467,10.9592,Helmstedt-Emmerstedt,Niedersachsen
13903,20080928,20090831,15,54.0167,8.3167,Bake Zulu,Niedersachsen
